"t1","t2","text_size","basename"
"Locknut","M3/M5",8,"locknut_m3_m5"
"M2x10","Self Tap",8,"m2x10_selftap"
"M3","Hammer",8,"m3_hammer"
"M3","T-Nut",8,"m3_tnut"
"M3x10","BHCS",8,"m3x10_bhcs"
"M3x12","BHCS",8,"m3x12_bhcs"
"M3x12","SHCS",8,"m3x12_shcs"
"M3x16","BHCS",8,"m3x16_bhcs"
"M3x16","SHCS",8,"m3x16_shcs"
"M3x20","BHCS",8,"m3x20_bhcs"
"M3x20","SHCS",8,"m3x20_shcs"
"M3x25","BHCS",8,"m3x25_bhcs"
"M3x25","SHCS",8,"m3x25_shcs"
"M3x30","BHCS",8,"m3x30_bhcs"
"M3x30","SHCS",8,"m3x30_shcs"
"M3x40","SHCS",8,"m3x40_shcs"
"M3x50","SHCS",8,"m3x50_shcs"
"M3x6","BHCS",8,"m3x6_bhcs"
"M3x6","FHCS",8,"m3x6_fhcs"
"M3x8","FHCS",8,"m3x8_fhcs"
"M5","T-Nut",8,"m5_tnut"
"M5x10","BHCS",8,"m5x10_bhcs"
"M5x12","BHCS",8,"m5x12_bhcs"
"M5x14","BHCS",8,"m5x14_bhcs"
"M5x16","BHCS",8,"m5x16_bhcs"
"M5x30","BHCS",8,"m5x30_bhcs"
"M5x40","BHCS",8,"m5x40_bhcs"
"M5x6","BHCS",8,"m5x6_bhcs"
"M5x8","BHCS",8,"m5x8_bhcs"
"Magnets","6x2 & 6x3",8,"magnets_6_2_6_3"
"Magnets","Various",8,"magnets_various"
"Misc.","Sort",8,"misc_sort"
"Round","Hygrometer",5.5,"round_hygrometer"
